row_type,key,canonical,variant,status,source,evidence,active_occurrences,parked_occurrences
positioning-row,,a reviewer nudge (a proposed comment on a waiting PR),"""a ping"", ""a reminder"", ""a review request"", ""a poke""",not-observed,docs/internal/POSITIONING.md:208,,0,0
positioning-row,,the health rows (the Room's HEALTH signal section),"""the health dashboard"", ""the health panel"", ""the status board""",not-observed,docs/internal/POSITIONING.md:209,,0,0
positioning-row,,the drafted update (the model-rewritten weekly update),"""the AI update"", ""the generated update"", ""the smart update""",not-observed,docs/internal/POSITIONING.md:210,,0,0
positioning-row,,Reach (remote access over Streamable HTTP),"""remote mode"", ""the remote transport"", ""the listener""",observed,docs/internal/POSITIONING.md:211,web/src/desk/setup.ts:117,1,0
positioning-row,,"a scoped credential (palette + TTL, shown once)","""an API key"", ""an access token"", ""a remote token""",not-observed,docs/internal/POSITIONING.md:212,,0,0
positioning-row,,the REMOTE badge (the fourth egress state),"""the remote chip"", ""the network badge"", ""the external badge""",not-observed,docs/internal/POSITIONING.md:213,,0,0
positioning-row,,the overnight runner (the .43 client script),"""the cron job"", ""the scheduled runner"", ""the background agent""",not-observed,docs/internal/POSITIONING.md:214,,0,0
positioning-row,,the Confluence connector (blog posts + pages by ID),"""the wiki connector"", ""the Confluence integration"", ""the Confluence plugin""",not-observed,docs/internal/POSITIONING.md:215,,0,0
positioning-row,,the clock (the calendar on the desk),"""the calendar view"", ""the schedule"", ""the planner""",not-observed,docs/internal/POSITIONING.md:216,,0,0
positioning-row,,the WEEK strip (the arrival's day-token row),"""the week bar"", ""the calendar bar"", ""the day pills""",not-observed,docs/internal/POSITIONING.md:217,,0,0
positioning-row,,an event-born recording (auto-created from a calendar event),"""a calendar recording"", ""an auto-recording"", ""a scheduled capture""",not-observed,docs/internal/POSITIONING.md:218,,0,0
positioning-row,,the meeting watch (the Room's meeting Watch source),"""the meeting tracker"", ""the meeting monitor"", ""the meeting feed""",not-observed,docs/internal/POSITIONING.md:219,,0,0
positioning-row,,the weekly brief (the full-week summary in Rhythm),"""the week report"", ""the weekly digest"", ""the week-in-review""",observed,docs/internal/POSITIONING.md:220,web/src/desk/components/SystemShade.tsx:626,1,0
positioning-row,,"the Speak wings (Speak, Journal, Blocks, Learned)","""tabs"", ""panels"", ""sections""",not-observed,docs/internal/POSITIONING.md:221,,0,0
positioning-row,,a text correction (a heard phrase paired with the said phrase),"""a spelling fix"", ""a vocabulary entry"", ""a find and replace""",not-observed,docs/internal/POSITIONING.md:222,,0,0
positioning-row,,a routing correction (an intent or target correction),"""a route fix"", ""a redirect"", ""a reroute""",not-observed,docs/internal/POSITIONING.md:223,,0,0
positioning-row,,the Learned wing (the correction memory on the face),"""the Memory tab"", ""the corrections table""",not-observed,docs/internal/POSITIONING.md:224,,0,0
positioning-row,,APPLIED (the chip where a stored rule fired on a run),"""corrected"", ""learned"", ""fixed"", ""nudged""",observed,docs/internal/POSITIONING.md:225,web/src/desk/pullouts/NotePullout.tsx:403; web/src/pages/cores/dictation/Journal.tsx:217; web/src/pages/cores/dictation/SpeakFace.tsx:577; web/src/pages/cores/dictation/SpeakFace.tsx:580; web/src/pages/cores/dictation/SpeakFace.tsx:607,5,0
checked-face-name,integration,Integration,Connections,verified-name-mismatch,docs/product-language.json:95,web/src/desk/applications.ts:421; web/src/pages/cores/settingsPrefs.tsx:57; web/src/pages/cores/settingsPrefs.tsx:464,,0
checked-face-name,integration,Integration,Connectors,verified-name-mismatch,docs/product-language.json:95,web/src/pages/cores/ActivityCore.tsx:230,,0
checked-face-name,integration,Integration,Integration,canonical-on-face,docs/product-language.json:95,web/src/desk/components/DeliveryBoard.tsx:329,,0
